"group","lat_dd","lon_dd","temp_C","notes"
541997,30.61489,-96.34079,24.2,""
541997,30.61491,-96.34081,25,""
541997,30.61488,-96.34086,24,""
541997,30.61487,-96.34087,23,""
541997,30.61494,-96.34084,23.7,""
541997,30.61495,-96.34089,23,""
541997,30.61495,-96.34091,24.6,""
541997,30.61498,-96.34094,23.6,""
541997,30.61506,-96.34096,24.6,""
541997,30.61507,-96.34098,25.3,""
541997,30.61507,-96.34101,23.9,""
541997,30.61512,-96.34104,24.3,""
541997,30.61515,-96.34103,24.7,""
541997,30.61516,-96.34106,24.2,""
541997,30.61517,-96.34108,24.6,""
541997,30.61521,-96.34111,24.4,""
541997,30.61521,-96.34113,24.3,""
541997,30.61524,-96.34117,23.7,""
541997,30.61528,-96.34119,24,""
541997,30.61526,-96.34118,24,""
541997,30.61529,-96.34122,22.7,""
541997,30.61533,-96.34123,22.7,""
541997,30.61536,-96.34127,22,""
541997,30.61537,-96.3413,23,""
646260,30.61473,-96.34071,21.5,""
646260,30.61478,-96.34075,21.9,""
646260,30.61482,-96.34089,22.6,""
646260,30.61488,-96.34082,22.8,""
646260,30.61493,-96.34086,22.6,""
646260,30.61496,-96.34089,22.4,""
646260,30.61502,-96.34093,21.4,""
646260,30.61507,-96.34097,22.7,""
646260,30.61512,-96.34101,22.7,""
646260,30.61516,-96.34106,22.1,""
646260,30.61521,-96.3411,24,""
646260,30.61526,-96.34114,23,""
646260,30.61532,-96.34122,22.3,""
646260,30.61537,-96.34125,21.3,""
646260,30.61543,-96.3449,21.1,""
646260,30.61549,-96.34133,21.5,""
646260,30.61552,-96.34137,20.4,""
646260,30.61558,-96.34142,20.9,""
646260,30.61562,-96.34148,21.4,""
646260,30.6157,-96.34155,21.4,""
646260,30.61541,-96.34132,21.5,""
646260,30.61538,-96.34138,21.5,""
646260,30.61535,-96.34145,22.8,""
646260,30.61532,-96.34152,20.1,""
646260,30.61527,-96.34157,21.4,""
646260,30.61522,-96.34162,17.9,""
646260,30.61516,-96.34168,20.7,""
646260,30.61511,-96.34165,20.1,""
646260,30.61506,-96.3416,19.5,""
646260,30.61502,-96.34155,19.9,""
