"id","lat_dd","lon_dd"
202,30.6144479,-96.340249
203,30.6145025,-96.340001
204,30.6144756,-96.339982
205,30.6144586,-96.339965
206,30.6144277,-96.339937
207,30.6144482,-96.339954
208,30.6144055,-96.339919
209,30.6143666,-96.339889
210,30.6143876,-96.3399
211,30.6143507,-96.339866
212,30.6162063,-96.340787
213,30.6164989,-96.34179
214,30.6163538,-96.341996
215,30.6159198,-96.342973
216,30.6160439,-96.343042
217,30.6158627,-96.343191
218,30.6155683,-96.342918
219,30.6156379,-96.343059
220,30.615491,-96.342946
221,30.6153283,-96.342619
222,30.6154111,-96.342547
223,30.6153421,-96.342431
224,30.6154446,-96.342311
